,text
0,"<price>250<rating>90<whiskey>The Balvenie Tun 1401 (Batch #9), 49.3%<review>This latest installment of the Tun 1401 series is a classic expression of old, mature Balvenie, where a waxiness akin to furniture polish slides into mead-like aromas; actually more like metheglin, as there’s an herbal, spiced element. Its textural richness means it is best with water on the side, allowing deep earthy, licorice, and cigar ash tones to develop, along with just the lightest squeeze of tannin. (U.S. only.)"
1,"<price>119<rating>89<whiskey>Glenmorangie 18 year old, 43%<review>This is part of the distiller’s Extremely Rare range, and has been matured in bourbon casks for 15 years, before a third is transferred to oloroso sherry casks for 3 years. Dried fruits, icing sugar, honey, lemon cheesecake, and floral aromas on the nutty nose. The palate offers figs, crème brûlée, cinnamon, more honey, and citrus fruit. The finish sees citrus fruit and oak merge nicely."
2,"<price>30<rating>89<whiskey>Dewar’s 12 year old The Ancestor, 40%<review>A straightforward proposition of honey, vanilla sponge cake, barley notes, hints of apple, fresh banana, melon, and bundles of dry straw. It’s a sweetheart: soft vanilla fudge, heather honey, banana-topped banoffee pie, fudge, vanilla sandwich cookies, barley sugar, and lemon peel, with hardly any spice in the early phase. The finish has a snag of pepper at the end, but this is gorgeously tasty, with smooth vanilla fudge all the way."
3,"<price>90<rating>85<whiskey>Spirit of Hven Seven Stars #3 Phecda, 45%<review>Willingly, we travel further along the Big Dipper with whisky maker Henric Molin. His latest creation exudes rich, dark, chewy toffee, Brazil nut shells, chopped dates, licorice, stone fruits, grilled beef mushrooms, and worked leather. The flavor starts slowly, like trying to ignite a fire of damp twigs. Once established, there is good weight and density, with treacle, dried fig, black cherry, and cinnamon, but the finish diminishes quickly after swallowing, leaving blackened oak and burnt sugar. 795 SEK"
4,"<price>155<rating>83<whiskey>Duncan Taylor (distilled at Glen Grant) 1972 Vintage, 31 year old, 56.1% ABV<review>I don’t normally like to add water to old whiskies, but this one needs a little at this strength. Whether you will like this whisky or not depends on whether you like woody whiskies with lots of sherry, and whether you care at all about recognizing the distillery character. The flavors are nicely balanced, rich, and very soothing in nature, but I struggle to find Glen Grant in here. Ripe fallen fruit, chewy toffee, maple syrup, honey-glazed almonds, damp oak resins-it’s all there, and it’s all balanced and quite entertaining. I personally want to taste the distillery character in my whisky. If that didn’t matter to me, I would have given this whisky a higher score. 
"
5,"<price>36<rating>91<whiskey>Johnnie Walker A Song of Ice, 40.2%<review>This pale gold, limited-edition dram is named in honor of House Stark from the Song of Ice and Fire book series, better known by its television name, Game of Thrones. Designed for Highballs or pouring over ice, it offers a nose of vanilla sponge cake sweetness, dried grasses, green melon, spring blossoms, white pepper, and a faint trace of peppermint. It has a soft, caressing character, with melon, pulpy summer fruits, sour lemon, butterscotch, barley sugar, vanilla caramel, and a later supportive fizzle of spice. It concludes with a finish of sweet vanilla and fruits."
6,"<price>33<rating>85<whiskey>Canadian Club Black Label 8 year old, 40%<review>In the 1980s, when white spirits elbowed whisky aside in the marketplace, unneeded barrels of Canadian Club continued aging. Japanese whisky lovers delighted by the resulting flavor boost demanded a new Japan-only CC. Sweet and hot, the classic pruney, figgy fruitiness of Canadian Club interweaves with new cedar fence posts. Vaguely pulling tannins lend a bitter edge that first amplifies blistering hot pepper, then muffles it into the soothing, glowing warmth of bubbly ginger ale. (Japan only) ¥ 3,375 "
7,"<price>3000<rating>85<whiskey>Littlemill 25 year old Private Cellar Edition, 50.4%<review>This bottling of 1990 whisky from the demolished Littlemill Distillery was initially matured in ten American and European oak casks before being married and finished in first-fill oloroso sherry casks. Boiled fruit sweets, subtle vanilla, red apple peel, and cereal on the nose. The palate is rich, sweet, and full. Intense fruitiness, then fruit spices, hazelnuts, and some oak notes. Very long in the finish, with aniseed and plain chocolate. Mildly tannic at the last. Complex and satisfying. (1,500 bottles)"
8,"<price>80<rating>81<whiskey>Reservoir Wheat Whiskey Year II, Batch 2, 50%<review>Wow, that's a small barrel whiskey! Only 2 years old, and more like 12 years dark, with a nose stuffed full of oak char, steamy mint, and hot vanilla. You know it's wheat in the mouth; despite the aggressive nose and the heat you do get, this is still pretty friendly stuff for 50%: sweet dough, mint, and more oak. But the finish roars in real hot and a bit astringent, ruining the moment, and water doesn't help."
9,"<price>53<rating>89<whiskey>The Lakes The One Signature Blend, 46.6%<review>

Orange segments and grapefruit peel with a spritz of peel oils, accompanied by gentle spice, bakery notes, and fruit-flavored jelly candies. Vanilla, sweet orange, honey, grapefruit peel, peppery spice, and lavender, then baked orange with deeper honey tones. Their first bottling, called The One, in 2014 was poor: this isn’t. Master blender Dhavall Gandhi joined the distillery in 2016 and he has turned this into a terrific dram.£39"
10,"<price>105<rating>89<whiskey>Springbank 11 year old, 58%<review>Finished in a rum cask. Gently sweet (caramel, vanilla cream, kiss of honey), with balancing fruit (lime, kiwi, green grape) and spice (white pepper, brine). Youthful (but not immature). Invigorating briny finish. I don’t know what kind of rum cask was used, but it comes across more like sugar cane juice-based rhum agricole than the molasses-based rums. Very nice! (A Park Avenue Liquor exclusive.) "
11,"<price>70<rating>86<whiskey>Glengoyne 15 year old Distiller’s Gold, 40%<review>Distiller’s Gold is exclusive to Travel Retail outlets and is dedicated to the distillery’s first manager, Cochran Cartwright, whose ghost is said to haunt the Stirlingshire distillery. Distiller’s Gold displays a nose of brittle nut toffee and dried fruit, with vanilla and caramel notes emerging. Spicy tropical fruits on the palate, with an edge of cinnamon and ginger. Medium in length, pleasantly oaky, persistently nutty and spicy. Price is per liter."
12,"<price>120<rating>90<whiskey>Fukano 12 year old Single Cask (Cask No. 55), 41.8%<review>

Disgorged from a 440-liter new oak cask, this is like a spiced blueberry muffin. The aromas evolve before your very nose; spicy punch, dried conifer cone, dark toffee, cola candy, strawberry laces, baked plum, banana skin, and ground pepper. A light palate, mouth-drawing at times, with pastry, butter croissant, and dried raspberry, developing richer fruits and sweetness, with toffee, black fruits, chewed leather, and base notes of pepper. (420 bottles)—"
13,"<price>50<rating>89<whiskey>Nikka Days, 40%<review>An accomplished blend packed with appealing flavors from Miyagikyo and Yoichi Distilleries. Honey, baked lemon, vanilla essence, brioche, golden syrup, and spring tree blossom aromas, with hints of butterscotch and caramel. Smooth, rich, and rounded, this has toffee, chocolate, red berry fruit, plum, vanilla pod, a touch of oak char, and clipped spices. A flash of peat smoke on the finish, with flavors of burnt sugar, baked fruits, and spices."
14,"<price>130<rating>85<whiskey>The Balvenie Peated Cask 17 year old, 43%<review>The newest release in Balvenie’s limited edition range, and the first venture back into smoke since the “Islay Cask” limited release several years ago. Some of this whisky was finished in a peated cask, some in new American oak. Both influences emerge with the smoke (jerky with a hint of kippers) and spice (cinnamon, vanilla, nutmeg) on a foundation of honeyed malt. Spicy, smoky finish. Balvenie is one of those big Speyside whiskies that can stand up to the smoke. This one will not appeal to everyone, but it makes for an interesting diversion."
15,"<price>76<rating>84<whiskey>Highland Queen 12 year old, 40%<review>At this age, there are more linear displays of fruit and sweetness than the 8 year old. Behind the tarte tatin, butterscotch, light pepper, and wood spice is a green, verdant nose of wet foliage and public lawns in the morning mist. It has a light to medium-weight texture of sugary butterscotch, strawberry, and raspberry developing around an oak and malt core. When the fruit flavor withers, there is a drop off in flavor, leaving a malty melee. £48"
16,"<price>70<rating>87<whiskey>Basil Hayden’s 10 year old Kentucky Straight Rye, 40%<review>Floral notes of violets meet heaps of spices: allspice, cloves, and nutmeg. The oak is right in your face, but not overwrought, woven with vanilla and cedar. The flavor shows good maturity, with leather, lanolin, and wax crayons, before more drying oak and spices bring it to a close. Brings some age to the table, but also feels just a bit tired, perhaps owing partly to the low proof."
17,"<price>175<rating>93<whiskey>Wild Turkey Master’s Keep Cornerstone Kentucky Straight Rye, 54.5%<review>A delightfully complex nose of vanilla, hot cross buns and bakery shop, cherries, coconut, raisins, figs, licorice, old leather, and hay barn. A smooth, viscous palate offers lemon honey, fragrant oak, cigar ash, dark berries, and more coconut. Spicier notes emerge with water, while the finish offers rich smoothness, with spiciness, chocolate-covered coconut, tobacco, and bitter herbs. Lots of depth and complexity. A great whiskey to enjoy with a cigar."
18,"<price>7000<rating>89<whiskey>Last Drop Distillers (distilled at Glen Garioch) 1967, 45.4%<review>This is the first single malt to be released by the Last Drop Distillers, and the Aberdeen-shire veteran is old-style, well-peated Glen Garioch. Unusually, it was matured in what the bottlers describe as “a bourbon-style remade hogshead cask.” Just 118 bottles are available globally. Fruity and herbal on the nose, with apples, marzipan, ginger, linseed, and a hint of camphor. Complex and distinctive. Surprisingly vibrant fruit notes fill the perfumed palate, with allspice, before it starts to become tannic. Ultimately very mouth-drying, with subtle smoke, and a fatty spice note at the very end."
19,"<price>87<rating>84<whiskey>Teerenpeli Distiller’s Choice Rasi, 43%<review>A Moscatel finish for a year after maturation in bourbon casks has added dark, sweet notes to the whisky’s natural character. This has an attractive nose of red-skinned apples, sweet dark raisins, coconut, nutmeg, cinnamon, and clove. The creamy texture has well-balanced flavors of tangy tropical fruit, Szechuan peppercorns, and a dalliance with citrus. Light, clean, and refreshing through to the finish of spiced apple and pepper. Subtle and careful, this is a restrained example of extra maturation. (2,554 bottles) £60"
20,"<price>55<rating>86<whiskey>Tomintoul 10 year old, 40%<review>The longest-standing expression in the range, 10 year old was introduced in 2002. It offers a nose that is light and initially green, with unripe apples, acetate, ripe pears, bananas, and light fudge. The palate is relatively insubstantial, with nutty milk chocolate, vanilla, brittle toffee, and oak. Nutty in the short finish, with a hint of malt and drying oak."
21,"<price>96<rating>88<whiskey>Wemyss Malts ‘Honey Spice’ (distilled at Bunnahabhain) 1991 (bottled 2011)<review>Bunnahabhain, along with Bowmore, is Islay’s greatest user of ex-sherry casks; a throwback to the days when it was part of Highland Distillers. Its rich, thick, and ginger-accented spirit matches the attention of European oak extremely well. In this red tea-colored example, you have resin, saddle soap, ginseng, and treacle toffee on the nose, and a fusillade of roasted spices on the palate before the finish reveals sweet gingerbread. A big huggable bear. £60"
22,"<price>58<rating>87<whiskey>Paul John Bold, 46%<review>This new peated expression exhibits the billowing, rich smoke of burning fruitwoods, warm banana-and-honey muffins, and caramelized brown sugar granules seared onto puff pastry. Tasting this evokes spiced apple, cinnamon, and orange peel, with more peat coming through mid-palate, mingled with Brazil nut, menthol, eucalyptus, clove, and peppermint. A warming glow trickles slowly down, leaving hot smoke and menthol behind. With whisky of this quality, master distiller Michael John will only gain further followers of his work. £40"
23,"<price>78<rating>91<whiskey>Spirit of Hven Hvenus Rye, 45.6%<review>Like licking caramel-drizzled mint chocolate chip ice cream; master distiller Henric Molin’s high-rye mashbill delivers a great balance between rye spices and creamy sweetness. Quite soft, with mint and caramel at first; layers of toffee and cinnamon follow, then becoming mouth-drawing as the pepper and clove spices crest a peak of intensity, tapering to toffee and cinnamon, and a dry finish."
